order_number,part_name,part_number,alloy_name,mold_code,machine_code,casting_process,quantity,scrap_qty,piece_weight_kg,pouring_temp_c,mold_temp_c,cycle_time_min,heat_treatment
GA-2026-00001,Motorblock V6,ZN-10000-A,AlSi9Cu3,FRM-00001,MCH-0001,die_cast_cold,200,8,28.500,680,320,4.5,t6
GA-2026-00001,Ölwanne Alu,ZN-10001-B,AlSi12,FRM-00005,MCH-0024,die_cast_cold,200,5,4.800,600,280,2.0,none
GA-2026-00002,Zylinderkopf 4-Zyl,ZN-10002-C,AlSi7Mg0.3,FRM-00002,MCH-0002,die_cast_cold,500,18,12.800,720,340,3.2,t6
GA-2026-00002,Ansaugbrücke,ZN-10003-D,AlSi10Mg,FRM-00006,MCH-0002,die_cast_cold,500,12,3.200,700,300,1.8,t5
GA-2026-00003,Getriebegehäuse 6-Gang,ZN-10004-E,AlSi9Cu3,FRM-00003,MCH-0003,die_cast_cold,300,15,18.200,680,330,3.8,t6
GA-2026-00003,Lagerdeckel,ZN-10005-A,AlSi12,FRM-00013,MCH-0007,gravity,1200,24,0.450,600,250,1.5,none
GA-2026-00004,Pumpengehäuse,ZN-10006-B,AlSi7Mg0.6,FRM-00010,MCH-0006,gravity,800,20,6.300,720,280,3.5,t6
GA-2026-00004,Ventilkörper,ZN-10007-C,AlSi10Mg,FRM-00011,MCH-0006,gravity,1000,15,1.200,700,260,2.0,t5
GA-2026-00005,Achsschenkel links,ZN-10008-D,EN-GJS-600-3,FRM-00015,MCH-0004,die_cast_cold,400,12,7.200,1380,400,3.0,normalizing
GA-2026-00005,Achsschenkel rechts,ZN-10009-E,EN-GJS-600-3,FRM-00015,MCH-0004,die_cast_cold,400,10,7.200,1380,400,3.0,normalizing
GA-2026-00006,Bremsscheibe VA,ZN-10010-A,EN-GJL-250,FRM-00007,MCH-0014,sand,2000,60,8.500,1400,0,6.0,none
GA-2026-00006,Bremsscheibe HA,ZN-10011-B,EN-GJL-250,FRM-00008,MCH-0014,sand,2000,55,9.200,1400,0,6.5,none
GA-2026-00007,Kurbelgehäuse-Unterteil,ZN-10012-C,AlSi9Cu3,FRM-00016,MCH-0001,die_cast_cold,150,9,22.500,680,330,5.0,t6
GA-2026-00007,Turboladergehäuse,ZN-10013-D,AlSi7Mg0.3,FRM-00004,MCH-0005,die_cast_cold,600,12,2.400,710,290,1.2,t5
GA-2026-00008,Wasserpumpengehäuse,ZN-10014-E,AlSi10Mg,FRM-00012,MCH-0007,gravity,1000,18,2.100,700,270,2.5,t5
GA-2026-00008,Radnabe vorn,ZN-10015-A,EN-GJS-500-7,FRM-00014,MCH-0006,gravity,500,10,5.800,1350,380,4.0,annealing
GA-2026-00009,Schwungrad,ZN-10016-B,EN-GJL-300,FRM-00009,MCH-0015,sand,100,5,14.500,1420,0,8.0,none
GA-2026-00009,Kompressorgehäuse,ZN-10017-C,AlSi7Mg0.6,FRM-00017,,investment,50,2,1.800,720,0,12.0,t6
GA-2026-00010,Kolbenrohling D82,ZN-10018-D,AlSi12,FRM-00024,MCH-0007,gravity,5000,100,0.380,610,250,1.0,t5
GA-2026-00010,Kolbenrohling D92,ZN-10019-E,AlSi12,FRM-00025,MCH-0007,gravity,5000,85,0.520,610,250,1.2,t5
GA-2026-00011,Zylinderrohr DN100,ZN-10020-A,CuSn10,,MCH-0023,centrifugal,100,3,35.000,1060,0,8.0,none
GA-2026-00011,Lagerbuchse,ZN-10021-B,CuSn12,,MCH-0023,centrifugal,500,12,4.500,1080,0,3.0,none
GA-2026-00012,Flanschplatte DN150,ZN-10022-C,EN-GJS-400-18,FRM-00028,MCH-0006,gravity,300,6,3.800,1340,350,2.8,annealing
GA-2026-00013,Differentialgehäuse,ZN-10023-D,AlSi9Cu3,FRM-00021,MCH-0005,die_cast_cold,250,18,15.600,680,320,3.5,t6
GA-2026-00014,Kupplungsglocke,ZN-10024-E,AlSi10Mg,FRM-00022,MCH-0025,die_cast_cold,400,8,11.200,700,310,3.0,t6
GA-2026-00015,Lenkgetriebegehäuse,ZN-10025-A,AlSi9Cu3,FRM-00023,MCH-0003,die_cast_cold,350,10,9.800,680,320,2.8,t5
GA-2026-00016,Motorblock V6,ZN-10026-B,AlSi9Cu3,FRM-00001,MCH-0001,die_cast_cold,180,0,28.500,680,320,4.5,t6
GA-2026-00017,Zylinderkopf 4-Zyl,ZN-10027-C,AlSi7Mg0.3,FRM-00002,MCH-0002,die_cast_cold,400,0,12.800,720,340,3.2,t6
GA-2026-00018,Nockenwellengehäuse,ZN-10028-D,EN-GJL-250,FRM-00026,MCH-0015,sand,600,0,5.400,1400,0,7.0,none
GA-2026-00019,Hydraulikblock,ZN-10029-E,AlSi10Mg,,MCH-0003,die_cast_cold,200,0,8.900,700,310,2.5,t6
GA-2026-00020,Turbinenrad,ZN-10030-A,NI,,MCH-0017,investment,25,1,0.950,1440,0,15.0,quench_temper
GA-2026-00021,Abgaskrümmer Zyl1-3,ZN-10031-B,EN-GJS-400-18,FRM-00027,MCH-0016,sand,500,0,4.100,1360,0,6.5,none
GA-2026-00022,Getriebegehäuse 6-Gang,ZN-10032-C,AlSi9Cu3,FRM-00003,MCH-0003,die_cast_cold,250,0,18.200,680,330,3.8,t6
GA-2026-00023,Pumpengehäuse,ZN-10033-D,AlSi7Mg0.6,FRM-00010,MCH-0006,gravity,600,0,6.300,720,280,3.5,t6
GA-2026-00024,Ventilkörper,ZN-10034-E,AlSi10Mg,FRM-00011,MCH-0006,gravity,800,0,1.200,700,260,2.0,t5
GA-2026-00025,Bremsscheibe VA,ZN-10035-A,EN-GJL-250,FRM-00007,MCH-0014,sand,1500,0,8.500,1400,0,6.0,none
GA-2026-00030,Zahnradrohling,ZN-10036-B,GS-52,FRM-00030,MCH-0014,sand,100,0,2.200,1600,0,5.0,quench_temper
